Data recieved from Arduino

Measurement number: 1
	Value1	Value2	Value3	Value4
0	0.00020318	-0.17888563	104.00000000	23.31378299
2000	0.29840540	9.84718149	104.00000000	23.31378299
4000	0.29768641	9.87487781	104.00000000	22.82502444
6000	0.29912440	9.81948517	104.00000000	23.31378299
8000	0.29912416	9.84718149	104.00000000	22.82502444
10000	0.29912440	9.81948517	104.00000000	23.31378299
12000	0.29912440	9.81948517	104.00000000	23.31378299
14000	0.29696764	9.87487781	104.00000000	23.31378299
16000	0.29984293	9.84718149	104.00000000	22.82502444
18000	0.29912440	9.81948517	104.00000000	23.80254154
20000	0.29840540	9.84718149	104.00000000	23.31378299
22000	0.29912416	9.84718149	104.00000000	23.31378299
24000	0.29912416	9.84718149	104.00000000	22.82502444
26000	0.29912463	9.79178886	104.00000000	23.31378299
28000	0.29912463	9.79178886	104.00000000	23.31378299
30000	0.29840563	9.81948517	104.00000000	23.80254154
32000	0.29984316	9.81948517	104.00000000	22.82502444
34000	0.29840563	9.81948517	104.00000000	22.82502444
36000	0.29912440	9.81948517	104.00000000	22.82502444
38000	0.29912440	9.81948517	104.00000000	22.82502444
40000	0.29840563	9.81948517	104.00000000	22.82502444
42000	0.29840587	9.79178886	104.00000000	22.82502444
44000	0.29912440	9.81948517	104.00000000	22.82502444
46000	0.29912440	9.81948517	104.00000000	23.80254154
48000	0.29840540	9.84718149	104.00000000	23.31378299
50000	0.29840563	9.81948517	104.00000000	23.31378299
52000	0.29912440	9.81948517	104.00000000	23.31378299
54000	0.29984339	9.79178886	104.00000000	23.31378299
56000	0.29984316	9.81948517	104.00000000	22.82502444
58000	0.29840540	9.84718149	104.00000000	23.80254154
60000	0.29840517	9.87487781	104.00000000	23.80254154
62000	0.29912440	9.81948517	104.00000000	23.80254154
64000	0.29912440	9.81948517	104.00000000	23.80254154
66000	0.29840587	9.79178886	104.00000000	23.80254154
68000	0.29912463	9.79178886	104.00000000	24.29130010
70000	0.29840587	9.79178886	104.00000000	23.31378299
72000	0.29912416	9.84718149	104.00000000	23.80254154
74000	0.29768617	9.90257413	104.00000000	23.80254154
76000	0.29912463	9.79178886	104.00000000	23.80254154
78000	0.29840563	9.81948517	104.00000000	24.29130010
80000	0.29984316	9.81948517	104.00000000	22.82502444
