Data recieved from Arduino

Measurement number: 1
	Value1	Value2	Value3	Value4	Value5	Value6
0	0.00000000	0.00000000	77.00000000	0.00000000	22.26562500	7.10488281
5000	0.00012659	0.01846393	106.00000000	1.36718750	23.24218750	7.10488281
10000	0.00018989	0.03564727	123.00000000	1.88476563	22.75390625	7.10488281
15000	0.00022606	0.04546632	136.00000000	2.18261719	22.26562500	7.10488281
20000	0.00025544	0.05305233	145.00000000	2.41210938	23.24218750	7.10488281
25000	0.00028031	0.05728312	152.00000000	2.56347656	22.75390625	7.10976562
30000	0.00030292	0.06039627	157.00000000	2.67578125	22.75390625	7.12441406
35000	0.00032100	0.06149809	162.00000000	2.74414063	22.75390625	7.13417969
40000	0.00034361	0.06349133	165.00000000	2.83203125	22.26562500	7.15371094
45000	0.00035491	0.06482392	168.00000000	2.88085938	22.75390625	7.15371094
50000	0.00036847	0.06548230	170.00000000	2.92480469	22.26562500	7.16347656
55000	0.00037299	0.06614973	172.00000000	2.95410156	22.26562500	7.16347656
60000	0.00037751	0.06659317	174.00000000	2.96875000	22.26562500	7.17324219
65000	0.00038882	0.06702983	175.00000000	3.00292969	22.26562500	7.16835937
70000	0.00039560	0.06702305	177.00000000	3.02734375	23.24218750	7.17812500
75000	0.00040916	0.06790542	178.00000000	3.06152344	22.26562500	7.17812500
80000	0.00041142	0.06790316	179.00000000	3.07617188	22.26562500	7.18789062
85000	0.00041594	0.06834660	180.00000000	3.09570313	22.26562500	7.18789062
90000	0.00041368	0.06834886	181.00000000	3.08593750	21.77734375	7.19765625
95000	0.00042272	0.06856380	181.00000000	3.10546875	21.77734375	7.19277344
100000	0.00042499	0.06856154	182.00000000	3.11523438	22.26562500	7.20253906
105000	0.00042951	0.06900498	182.00000000	3.12988281	22.26562500	7.20253906
110000	0.00042951	0.06878100	182.00000000	3.12988281	22.75390625	7.20253906
115000	0.00043403	0.06877648	182.00000000	3.12988281	22.75390625	7.21230469
120000	0.00042725	0.06900724	182.00000000	3.12011719	22.26562500	7.20742187
125000	0.00042725	0.06923123	182.00000000	3.12011719	22.26562500	7.21230469
130000	0.00042951	0.06900498	182.00000000	3.12988281	22.26562500	7.21718750
135000	0.00043177	0.06922670	182.00000000	3.12500000	22.75390625	7.20742187
140000	0.00043629	0.06899820	182.00000000	3.13964844	21.28906250	7.22695312
145000	0.00042951	0.06855702	183.00000000	3.12500000	21.77734375	7.21718750
150000	0.00043629	0.06922218	183.00000000	3.13964844	22.26562500	7.21718750
155000	0.00043403	0.06877648	184.00000000	3.13476563	22.75390625	7.22695312
160000	0.00043855	0.06921992	184.00000000	3.15429688	22.26562500	7.22695312
165000	0.00043629	0.06944617	184.00000000	3.15429688	22.26562500	7.22207031
170000	0.00044307	0.06943938	184.00000000	3.16894531	21.77734375	7.23183594
175000	0.00044533	0.06943712	184.00000000	3.16406250	21.77734375	7.22695312
180000	0.00044081	0.06921766	184.00000000	3.15917969	22.75390625	7.23183594
185000	0.00044307	0.06899142	184.00000000	3.15917969	22.26562500	7.23183594
190000	0.00043177	0.06922670	184.00000000	3.14453125	22.75390625	7.23671875
195000	0.00043855	0.06966789	184.00000000	3.16406250	23.24218750	7.23671875
200000	0.00044307	0.06943938	184.00000000	3.17382813	21.77734375	7.24160156
205000	0.00044533	0.06898916	184.00000000	3.16894531	21.28906250	7.24648437
210000	0.00044307	0.06899142	184.00000000	3.16894531	22.75390625	7.24648437
215000	0.00044307	0.06921540	184.00000000	3.15917969	22.75390625	7.24160156
220000	0.00044081	0.06944164	184.00000000	3.15917969	22.26562500	7.24160156
225000	0.00044307	0.06943938	184.00000000	3.16406250	22.26562500	7.24648437
230000	0.00044307	0.06943938	184.00000000	3.17382813	22.75390625	7.24648437
235000	0.00044533	0.06898916	184.00000000	3.17382813	22.75390625	7.24648437
240000	0.00044307	0.06921540	184.00000000	3.16406250	22.26562500	7.24648437
245000	0.00044081	0.06899368	184.00000000	3.15917969	22.26562500	7.24648437
250000	0.00043855	0.06966789	184.00000000	3.15917969	22.26562500	7.25136719
255000	0.00043855	0.06944391	184.00000000	3.16406250	22.26562500	7.25136719
260000	0.00043855	0.06966789	184.00000000	3.16406250	22.26562500	7.25625000
265000	0.00044081	0.06944164	184.00000000	3.16894531	22.75390625	7.25136719
270000	0.00044759	0.06943486	184.00000000	3.17382813	22.75390625	7.25625000
275000	0.00044081	0.06921766	184.00000000	3.15429688	21.77734375	7.25136719
280000	0.00044533	0.06921314	184.00000000	3.16406250	22.26562500	7.25625000
285000	0.00044081	0.06944164	184.00000000	3.15917969	22.75390625	7.26113281
290000	0.00044081	0.06921766	184.00000000	3.16406250	22.75390625	7.26113281
295000	0.00044307	0.06943938	184.00000000	3.16406250	21.77734375	7.26601562
300000	0.00043855	0.06899594	184.00000000	3.15429688	22.75390625	7.26113281
305000	0.00044081	0.06921766	184.00000000	3.15429688	21.77734375	7.26113281
310000	0.00043855	0.06921992	184.00000000	3.15429688	22.26562500	7.26113281
315000	0.00044307	0.06943938	184.00000000	3.16406250	22.26562500	7.26113281
320000	0.00044533	0.06943712	184.00000000	3.16406250	21.77734375	7.26601562
325000	0.00044307	0.06943938	184.00000000	3.16406250	22.75390625	7.26601562
330000	0.00043855	0.06944391	184.00000000	3.15429688	22.75390625	7.26113281
335000	0.00043855	0.06944391	184.00000000	3.15429688	22.26562500	7.27089844
340000	0.00044307	0.06921540	184.00000000	3.15917969	23.24218750	7.27578125
345000	0.00044081	0.06944164	184.00000000	3.15917969	23.24218750	7.27578125
350000	0.00044533	0.06921314	184.00000000	3.16406250	22.75390625	7.26601562
355000	0.00043855	0.06877196	185.00000000	3.14453125	22.75390625	7.28066406
360000	0.00044081	0.06944164	185.00000000	3.15917969	22.26562500	7.27089844
365000	0.00044533	0.06921314	185.00000000	3.17382813	22.75390625	7.27578125
